timestamp,request_id,agent,model,query,prompt_hash,intent,prompt_tokens,completion_tokens,ttft_ms,tokens_per_second,total_time_ms,rag_chunks_used,memory_mb,has_disclaimers,documentId
"2026-06-14T09:43:39.513Z","757e19ae-f521-40d3-9ee3-f2867ddd4a0c","orchestrator","medpsy-4b-q4_k_m-imat.gguf","The SpO2 readings on our patient monitor are showing intermittent ""probe off"" errors even though the sensor is properly connected to the patient. What should I check?",,,1305,941,9775,76.5,12305,0,,true,
"2026-06-14T09:44:00.290Z","27c6564f-a41c-4d2e-880e-7b5bd31d6d30","orchestrator","medpsy-4b-q4_k_m-imat.gguf","Our infusion pump is showing an ""occlusion"" alarm but the IV line appears completely clear with no visible kinks. How do I troubleshoot this?",,,1905,1681,15640,80.9,20776,0,,true,
"2026-06-14T09:44:21.655Z","5c39829c-0364-45b5-a8d7-d1df2a4d8e3e","orchestrator","medpsy-4b-q4_k_m-imat.gguf","I am getting an error code E-22 on the patient monitor. What does this mean and how do I fix it?",,,1391,1697,17739,79.4,21363,0,,true,
"2026-06-14T09:44:41.002Z","8ef1a9a9-9ff6-48ad-bec7-a3b8537e450b","orchestrator","medpsy-4b-q4_k_m-imat.gguf","The monitor turns on but powers off randomly after 30 seconds to 2 minutes. The battery shows 80% charge.",,,1363,1552,14215,80.2,19347,0,,true,
"2026-06-14T09:45:00.522Z","83b7c216-7160-488f-bb7a-5f57359f7ca3","orchestrator","medpsy-4b-q4_k_m-imat.gguf","The SpO2 module calibration failed verification during preventive maintenance. The readings are out of tolerance by 4%.",,,1384,1558,14887,79.8,19519,0,,true,
"2026-06-14T09:45:29.985Z","ecef7563-c0ef-4ede-b16f-b3dd0a582888","orchestrator","medpsy-4b-q4_k_m-imat.gguf","The alarm limits reset to factory defaults every time the device is power cycled. Is this normal?",,,1871,2382,21013,80.8,29462,0,,true,
"2026-06-14T09:45:50.303Z","147b97a2-6607-4c23-b28a-d1638605f614","orchestrator","medpsy-4b-q4_k_m-imat.gguf","La bomba marca oclusión pero la línea está libre y los settings de presión de oclusión están configurados al mínimo.",,,1885,1591,17303,78.3,20318,0,,true,
"2026-06-14T09:45:50.304Z","0197b50c-03cb-49ec-be27-d648fd44c1bc","orchestrator","medpsy-4b-q4_k_m-imat.gguf","What are the clinical risks if a mechanical ventilator delivers incorrect tidal volumes to a patient? Why is this dangerous?",,,0,0,0,0,0,0,,false,
